City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,Blackwater,AU,-23.5833,148.8833,66.24,52,68,6.04,broken clouds
185,East London,ZA,-33.0153,27.9116,59.5,89,100,16.64,heavy intensity rain
186,Birjand,IR,32.8663,59.2211,66.67,20,0,4.61,clear sky
187,Hima,UG,0.2958,30.1804,66.85,92,42,1.5,scattered clouds
188,Vao,NC,-22.6667,167.4833,73.38,82,9,14.99,clear sky
189,Pandrup,DK,57.2215,9.6757,48.11,81,3,2.3,clear sky
190,Quesnel,CA,52.9999,-122.5029,57.7,58,0,10.36,clear sky
191,Melendugno,IT,40.2747,18.3368,72.05,88,20,4.61,few clouds
192,Saint-Joseph,RE,-21.3667,55.6167,66.58,77,19,11.36,few clouds
193,Boueni,YT,-12.9025,45.0761,75.18,76,0,9.53,clear sky
194,San Patricio,US,28.017,-97.5169,93.15,49,91,10.49,overcast clouds
195,Lebu,CL,-37.6167,-73.65,50.43,60,8,11.36,clear sky
196,Yei,SS,4.095,30.6779,68.81,83,4,2.55,clear sky
197,Bagdarin,RU,54.4333,113.6,29.97,70,100,3.27,overcast clouds
198,Vitim,RU,59.4511,112.5578,41.13,99,100,7.09,overcast clouds
199,Klaksvik,FO,62.2266,-6.589,52.72,96,100,24.87,light rain
200,Diffa,NE,13.3154,12.6113,86.05,55,8,10.18,clear sky
201,Kieta,PG,-6.2167,155.6333,77.79,84,100,3.58,overcast clouds
202,Balabac,PH,7.9868,117.0645,81.18,79,100,13.13,overcast clouds
203,Dikson,RU,73.5069,80.5464,34.57,64,96,9.64,overcast clouds
204,Mezen,RU,65.8522,44.24,51.55,82,100,10.63,overcast clouds
205,Korla,CN,41.7597,86.1469,72.43,18,63,6.91,broken clouds
206,Catuday,PH,16.2923,119.8062,78.73,83,100,10.69,overcast clouds
207,Vila Velha,BR,-20.3297,-40.2925,75.15,77,20,8.05,few clouds
208,Terney,RU,45.0503,136.6092,40.93,62,2,15.46,clear sky
209,Bandarbeyla,SO,9.4942,50.8122,79.03,81,100,23.38,overcast clouds
210,Nizwa,OM,22.9333,57.5333,85.06,41,0,4.68,clear sky
211,Pontarlier,FR,46.8333,6.25,47.95,84,8,3.42,clear sky
212,Caconda,AO,-13.7333,15.0667,71.13,25,1,4.25,clear sky
213,Grand Gaube,MU,-20.0064,57.6608,71.38,69,0,5.99,clear sky
214,Carlsbad,US,33.1581,-117.3506,86.56,66,0,9.22,clear sky
215,Pangody,RU,65.85,74.4859,40.98,91,72,7.4,broken clouds
216,Mehran,IR,33.1222,46.1646,90.9,9,0,7.43,clear sky
217,Terrace,CA,54.5163,-128.6035,58.91,54,20,19.57,few clouds
218,Quime,BO,-16.9833,-67.2167,66.81,36,79,8.75,broken clouds
219,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,50.59,100,100,11.18,light intensity shower rain
220,Marienburg,PL,54.0359,19.0266,51.89,88,12,8.55,few clouds
221,Lorengau,PG,-2.0226,147.2712,81.01,79,65,7.65,broken clouds
222,San Angelo,US,31.4638,-100.437,94.95,37,0,9.22,clear sky
223,Aklavik,CA,68.2191,-135.0107,53.6,50,20,2.3,few clouds
224,Ambilobe,MG,-13.2,49.05,69.28,69,0,5.28,clear sky
225,Amuntai,ID,-2.4177,115.2494,73.13,99,100,1.66,overcast clouds
226,Aksarka,RU,66.5606,67.7975,43.9,89,74,6.67,broken clouds
227,Coihaique,CL,-45.5752,-72.0662,43.41,81,100,6.91,overcast clouds
228,Sawang Daen Din,TH,17.4753,103.4575,75.18,99,100,3.87,moderate rain
229,Opuwo,NA,-18.0607,13.84,65.79,29,0,6.96,clear sky
230,Angarsk,RU,52.5367,103.8864,36.32,66,100,3.91,overcast clouds
231,Ngaoundere,CM,7.3167,13.5833,65.7,97,100,2.51,moderate rain
232,Bathsheba,BB,13.2167,-59.5167,88.41,66,20,11.5,few clouds
233,Mar Del Plata,AR,-38.0023,-57.5575,55.09,95,100,11.99,overcast clouds
234,Esperance,AU,-33.8667,121.9,55.58,64,100,18.77,overcast clouds
235,Aljezur,PT,37.3191,-8.8033,71.98,80,14,5.82,few clouds
236,Hithadhoo,MV,-0.6,73.0833,82.09,74,100,8.16,overcast clouds
237,Serenje,ZM,-13.2325,30.2352,70.02,30,0,4.9,clear sky
238,Mae Sai,TH,20.4335,99.8762,70.43,99,30,2.57,scattered clouds
239,Visakhapatnam,IN,17.69,83.2093,77.85,81,100,3.91,moderate rain
240,Fayaoue,NC,-20.65,166.5333,74.98,85,19,15.48,few clouds
241,Qaanaaq,GL,77.484,-69.3632,25.0,58,24,8.1,few clouds
242,Leningradskiy,RU,69.3833,178.4167,31.93,93,99,18.5,overcast clouds
243,Shache,CN,38.4167,77.2406,75.7,37,2,5.93,clear sky
244,Yumen,CN,40.2833,97.2,59.05,55,0,12.64,clear sky
245,Broken Hill,AU,-31.95,141.4333,53.91,49,0,12.24,clear sky
246,Bhag,PK,29.0415,67.8239,91.92,43,0,5.73,clear sky
247,Port Elizabeth,ZA,-33.918,25.5701,59.29,73,0,11.5,clear sky
248,Portree,GB,57.4129,-6.1942,56.52,93,100,6.82,light rain
249,Hualmay,PE,-11.0964,-77.6139,66.36,71,20,9.19,few clouds
250,Hambantota,LK,6.1241,81.1185,79.5,82,100,15.9,overcast clouds
251,Yulara,AU,-25.2406,130.9889,72.36,22,0,18.79,clear sky
252,Bethel,US,41.3712,-73.414,83.19,60,75,11.5,broken clouds
253,Banda Aceh,ID,5.5577,95.3222,79.43,78,100,10.85,overcast clouds
254,Jacareacanga,BR,-6.2222,-57.7528,92.25,43,100,2.86,light rain
255,Grand Baie,MU,-20.0182,57.5802,71.46,69,0,5.99,clear sky
256,Camacha,PT,33.0833,-16.3333,71.02,68,20,6.91,few clouds
257,Vondrozo,MG,-22.8167,47.2833,60.87,97,67,3.65,light rain
258,Honningsvag,NO,70.9821,25.9704,44.35,76,40,18.41,scattered clouds
259,Port Augusta,AU,-32.5,137.7667,60.87,39,100,8.84,overcast clouds
260,Sorland,NO,67.667,12.6934,48.06,65,100,24.32,overcast clouds
261,Chuy,UY,-33.6971,-53.4616,64.76,75,100,3.51,light rain
262,Sambava,MG,-14.2667,50.1667,69.4,88,51,11.1,light rain
263,Norman,US,35.2226,-97.4395,97.02,38,75,11.5,broken clouds
264,Tan An,VN,10.5333,106.4167,78.82,90,100,2.86,overcast clouds
265,Basco,PH,20.4487,121.9702,83.19,71,100,11.95,overcast clouds
266,Rosarito,MX,32.3333,-117.0333,82.63,56,0,10.16,clear sky
267,Otjimbingwe,NA,-22.35,16.1333,62.37,16,0,4.29,clear sky
268,Codrington,AU,-38.2667,141.9667,42.98,90,7,9.73,clear sky
269,Nassau,US,40.7507,-73.5829,85.93,70,20,12.66,few clouds
