City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
166,Vanimo,PG,77.11,very heavy rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
168,Sur,OM,81.9,clear sky,22.5667,59.5289,Sur Plaza Hotel
171,Along,IN,74.23,overcast clouds,28.1667,94.7667,Hotel West
172,Fare,PF,77.43,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
174,Kota Bahru,MY,75.15,few clouds,6.1333,102.2386,Grand Riverview Hotel
175,Talnakh,RU,31.21,clear sky,69.4865,88.3972,Talnakh Hotel
176,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
177,Southbridge,US,81.36,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
178,Vizinga,RU,63.43,light rain,61.0749,50.1031,"Gostinitsa ""Nadezhda"""
179,Nishihara,JP,80.26,broken clouds,26.1842,127.7558,Minshuku Agaihama
180,Faanui,PF,77.85,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
181,Ayan,RU,39.06,light rain,56.45,138.1667,Gostinitsa
182,Qaqortoq,GL,44.24,overcast clouds,60.7167,-46.0333,Siniffik Inn
183,Kastamonu,TR,58.17,overcast clouds,41.5,33.6667,Kasaba Orencik Koyu Muhtarligi
184,Blackwater,AU,66.24,broken clouds,-23.5833,148.8833,Blackwater Motor Inn
185,East London,ZA,59.5,heavy intensity rain,-33.0153,27.9116,Tu Casa
186,Birjand,IR,66.67,clear sky,32.8663,59.2211,Birjand Tourist Hotel
187,Hima,UG,66.85,scattered clouds,0.2958,30.1804,Bike bar and Lodge
188,Vao,NC,73.38,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
189,Pandrup,DK,48.11,clear sky,57.2215,9.6757,Eva Mose Design
190,Quesnel,CA,57.7,clear sky,52.9999,-122.5029,Ramada by Wyndham Quesnel
191,Melendugno,IT,72.05,few clouds,40.2747,18.3368,Alba Bed & Breakfast Melendugno
192,Saint-Joseph,RE,66.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
193,Boueni,YT,75.18,clear sky,-12.9025,45.0761,The feet in water
194,San Patricio,US,93.15,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
195,Lebu,CL,50.43,clear sky,-37.6167,-73.65,Hostal Las Lilas
